Date ;Reg time ;Region id ;Region ;Municipal ;Nick ;Competence ;EAWS problem ;Cause/ weaklayer ;Type ;Catch 1 ;Catch 2 ;Catch 3 ;Catch 4 ;Size ;Trigger
2016-01-03 ;2016-01-03 13:17 ;126 ;Hemsedalfjella ;HEMSEDAL ;Siggen@obskorps ;*** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2016-01-03 ;2016-01-03 13:52 ;106 ;Alta ;KVÆNANGEN ;Bjørnulf@ObsKorps ;**** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2016-01-03 ;2016-01-03 14:28 ;118 ;Romsdal ;RAUMA ;Urpu@Romsdal ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2016-01-03 ;2016-01-03 15:43 ;127 ;Røldal ;ETNE ;Per Magne ;Unknown ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ; ; ;2 - Small ;Low additional load
2016-01-03 ;2016-01-03 18:34 ;119 ;Sunnmøre ;VOLDA ;Stig Løland@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2016-01-03 ;2016-01-03 18:39 ;119 ;Sunnmøre ;VOLDA ;Stig Løland@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2016-01-03 ;2016-01-03 19:57 ;108 ;Tromsø ;TROMSØ ;Hans-Jørgen@ObsKorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2016-01-04 ;2016-01-04 12:55 ;108 ;Tromsø ;TROMSØ ;Odd-Arne@NVE ;**** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ; ;The collapsing weak layer is thin < 3 cm. ;1 - Harmless (sluff) ;Low additional load
2016-01-04 ;2016-01-04 12:37 ;114 ;Narvik ;NARVIK ;Kaj@obskorps ;**** ;Persistent weak layers ;Buried weak layer of faceted snow above a crust ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ;The weak layer collapses easily and clean (easy propagation). ; ;The collapsing weak layer is thin < 3 cm. ;3 - Medium ;High additional load
2016-01-04 ;2016-01-04 12:37 ;114 ;Narvik ;NARVIK ;Kaj@obskorps ;**** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ;2 - Small ;Low additional load
2016-01-04 ;2016-01-04 13:10 ;125 ;Hallingskarvet ;HOL ;steinar@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ; ;2 - Small ;Low additional load
2016-01-04 ;2016-01-04 13:22 ;109 ;Balsfjord ;TROMSØ ;ToreV@met ;*** ;Persistent weak layers ;Buried weak layer of faceted snow near the ground ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ; ; ; ;2 - Small ;High additional load
2016-01-04 ;2016-01-04 13:22 ;109 ;Balsfjord ;TROMSØ ;ToreV@met ;*** ;Persistent weak layers ;Buried weak layer of faceted snow beneath a crust ;Dry slab avalanche ; ; ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2016-01-04 ;2016-01-04 17:42 ;126 ;Hemsedalfjella ;HEMSEDAL ;Siggen@obskorps ;*** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;Low additional load
2016-01-04 ;2016-01-04 17:42 ;126 ;Hemsedalfjella ;HEMSEDAL ;Siggen@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ;3 - Medium ;High additional load
2016-01-05 ;2016-01-05 11:49 ;116 ;Lofoten ;VÅGAN ;JonasD@ObsKorps ;***** ;New snow ;Loose snow ;Loose dry avalanche ; ; ; ; ; ;
2016-01-05 ;2016-01-05 11:48 ;122 ;Sogn ;LUSTER ;martin@obskorps ;*** ;Persistent weak layers ;Buried weak layer of faceted snow above a crust ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ; ; ; ;1 - Harmless (sluff) ;Low additional load
2016-01-05 ;2016-01-05 15:56 ;108 ;Tromsø ;TROMSØ ;torben@obskorps ;Unknown ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ; ; ;The overlying slab is soft. ; ; ;High additional load
2016-01-05 ;2016-01-05 18:44 ;108 ;Tromsø ;TROMSØ ;Thorleif svendsen ;Unknown ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2016-01-05 ;2016-01-05 12:52 ;123 ;Jotunheimen ;LOM ;Albert ;**** ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ;The weak layer collapses easily and clean (easy propagation). ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;Low additional load
2016-01-05 ;2016-01-05 12:53 ;123 ;Jotunheimen ;LOM ;Albert ;**** ;New snow ;Poor bonding between crust and overlying snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;Low additional load
2016-01-05 ;2016-01-05 13:13 ;0 ; ;TOKKE ;jone@SVV ;*** ;New snow ;Loose snow ;Loose dry avalanche ; ; ; ; ;1 - Harmless (sluff) ;High additional load
2016-01-05 ;2016-01-05 14:16 ;127 ;Røldal ;VINJE ;audun@svv ;*** ; ; ; ; ; ; ; ;2 - Small ;High additional load
2016-01-05 ;2016-01-05 15:49 ;118 ;Romsdal ;RAUMA ;Halvor@NVE ;***** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2016-01-05 ;2016-01-05 16:07 ;122 ;Sogn ;LUSTER ;Siggen@obskorps ;*** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;Low additional load
2016-01-05 ;2016-01-05 17:44 ;122 ;Sogn ;LUSTER ;Jonas.hansen@live.no ;* ;New snow ;Buried weak layer of new snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ; ;1 - Harmless (sluff) ;Low additional load
2016-01-05 ;2016-01-05 18:00 ;122 ;Sogn ;LUSTER ;martin@svv_gammel_profil ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;1 - Harmless (sluff) ;Low additional load
2016-01-06 ;2016-01-06 05:45 ;112 ;Bardu ;BARDU ;mortenh@obskorps ;***** ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ; ;The collapsing weak layer is thin < 3 cm. ;3 - Medium ;High additional load
2016-01-06 ;2016-01-06 11:20 ;106 ;Alta ;ALTA ;Bjørnulf@ObsKorps ;**** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2016-01-06 ;2016-01-06 11:31 ;126 ;Hemsedalfjella ;HEMSEDAL ;Rune@obskorps ;**** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2016-01-06 ;2016-01-06 11:58 ;121 ;Fjordane ;JØLSTER ;brit-siv@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ; ;2 - Small ;High additional load
2016-01-06 ;2016-01-06 13:12 ;122 ;Sogn ;SOGNDAL ;Ingrid SVV ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;Low additional load
2016-01-06 ;2016-01-06 12:34 ;107 ;Kåfjord ;KÅFJORD ;jan arild@NVE ;**** ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ; ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2016-01-06 ;2016-01-06 14:12 ;127 ;Røldal ;ODDA ;Nils@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;Low additional load
2016-01-06 ;2016-01-06 19:08 ;0 ; ;FAUSKE ;SindreH@ObsKorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2016-01-06 ;2016-01-06 21:04 ;108 ;Tromsø ;TROMSØ ;MagnusH ;**** ;Persistent weak layers ;Buried weak layer of surface hoar ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ;The weak layer collapses easily and clean (easy propagation). ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;Low additional load
2016-01-07 ;2016-01-07 09:38 ;122 ;Sogn ;LUSTER ;martin@obskorps ;*** ;Persistent weak layers ;Buried weak layer of faceted snow above a crust ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;Low additional load
2016-01-07 ;2016-01-07 10:01 ;124 ;Voss ;VOSS ;Tor Ivar SVV ;**** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2016-01-07 ;2016-01-07 12:51 ;122 ;Sogn ;LUSTER ;AnneMariaLeune@ObsKorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ; ;2 - Small ;High additional load
2016-01-07 ;2016-01-07 16:17 ;122 ;Sogn ;LUSTER ;martin@svv_gammel_profil ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2016-01-07 ;2016-01-07 15:21 ;131 ;Svartisen ;BEIARN ;per@SVV ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ; ; ; ; ; ;1 - Harmless (sluff) ;Low additional load
2016-01-07 ;2016-01-07 15:21 ;123 ;Jotunheimen ;ÅRDAL ;Leif@ObsKorps ;**** ; ;Buried weak layer of faceted snow beneath a crust ; ;A big and identifiable crystal in the weak layer. ; ; ; ;3 - Medium ;High additional load
2016-01-07 ;2016-01-07 15:21 ;123 ;Jotunheimen ;ÅRDAL ;Leif@ObsKorps ;**** ;Persistent weak layers ;Buried weak layer of faceted snow beneath a crust ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ; ; ; ;3 - Medium ;High additional load
2016-01-07 ;2016-01-07 15:45 ;126 ;Hemsedalfjella ;HEMSEDAL ;knut ;Unknown ;New snow ;Loose snow ;Loose dry avalanche ; ; ; ; ;2 - Small ;High additional load
2016-01-07 ;2016-01-07 16:15 ;122 ;Sogn ;LUSTER ;Siggen@obskorps ;*** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2016-01-07 ;2016-01-07 16:40 ;122 ;Sogn ;LUSTER ;Kristoffer@ObsKorps ;Unknown ;New snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ; ;1 - Harmless (sluff) ;Low additional load
2016-01-07 ;2016-01-07 16:40 ;122 ;Sogn ;LUSTER ;Kristoffer@ObsKorps ;Unknown ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ; ;2 - Small ;High additional load
2016-01-07 ;2016-01-07 16:58 ;122 ;Sogn ;LUSTER ;hrb@nve.no ;*** ; ;Buried weak layer of faceted snow beneath a crust ; ;A big and identifiable crystal in the weak layer. ; ; ;The collapsing weak layer is thin < 3 cm. ;1 - Harmless (sluff) ;High additional load
2016-01-07 ;2016-01-07 17:12 ;122 ;Sogn ;LUSTER ;Martine@SVV ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2016-01-07 ;2016-01-07 19:41 ;122 ;Sogn ;LUSTER ;Jonas.hansen@live.no ;* ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ; ;The collapsing weak layer is thin < 3 cm. ;1 - Harmless (sluff) ;Low additional load
2016-01-07 ;2016-01-07 19:41 ;122 ;Sogn ;LUSTER ;Jonas.hansen@live.no ;* ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;High additional load
2016-01-07 ;2016-01-07 17:45 ;122 ;Sogn ;LUSTER ;hilde@obskorps/svv ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ; ; ;1 - Harmless (sluff) ;Low additional load
2016-01-07 ;2016-01-07 17:45 ;122 ;Sogn ;LUSTER ;hilde@obskorps/svv ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ; ; ;1 - Harmless (sluff) ;Low additional load
2016-01-07 ;2016-01-07 17:56 ;122 ;Sogn ;LUSTER ;anitaaw@met ;***** ; ; ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2016-01-08 ;2016-01-08 08:34 ;118 ;Romsdal ;RAUMA ;Halvor@NVE ;***** ;Persistent weak layers ;Buried weak layer of surface hoar ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;1 - Harmless (sluff) ;Low additional load
2016-01-08 ;2016-01-08 11:18 ;108 ;Tromsø ;TROMSØ ;HåvardT@nve ;***** ;Persistent weak layers ;Buried weak layer of faceted snow beneath a crust ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ; ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2016-01-08 ;2016-01-08 14:00 ;122 ;Sogn ;SOGNDAL ;Jan Helge@SVV ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2016-01-08 ;2016-01-08 12:18 ;115 ;Vesterålen ;SORTLAND ;Steinar@ObsKorps ;**** ;Persistent weak layers ;Buried weak layer of surface hoar ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;High additional load
2016-01-08 ;2016-01-08 12:58 ;124 ;Voss ;VIK ;Jens@SVV ;**** ; ;Buried weak layer of new snow ; ; ; ; ; ;1 - Harmless (sluff) ;High additional load
2016-01-08 ;2016-01-08 13:09 ;127 ;Røldal ;ODDA ;Nils@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2016-01-08 ;2016-01-08 15:50 ;128 ;Rauland ;VINJE ;svein loftsgarden ;**** ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2016-01-08 ;2016-01-08 15:50 ;128 ;Rauland ;VINJE ;svein loftsgarden ;**** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2016-01-08 ;2016-01-08 14:22 ;0 ; ;ODDA ;Njål@SVV ;**** ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;High additional load
2016-01-08 ;2016-01-08 14:59 ;113 ;Harstad ; ;Espen@ObsKorps ;**** ;Persistent weak layers ;Buried weak layer of faceted snow beneath a crust ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ; ; ; ;2 - Small ;High additional load
2016-01-08 ;2016-01-08 14:59 ;113 ;Harstad ; ;Espen@ObsKorps ;**** ;Persistent weak layers ;Buried weak layer of surface hoar ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;1 - Harmless (sluff) ;Low additional load
2016-01-08 ;2016-01-08 15:24 ;114 ;Narvik ;BALLANGEN ;Kaj@obskorps ;**** ;Persistent weak layers ;Buried weak layer of faceted snow above a crust ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ;The weak layer collapses easily and clean (easy propagation). ; ;The collapsing weak layer is thin < 3 cm. ;3 - Medium ;High additional load
2016-01-08 ;2016-01-08 15:14 ;123 ;Jotunheimen ;LOM ;Albert ;**** ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ; ;Low additional load
2016-01-08 ;2016-01-08 15:18 ;123 ;Jotunheimen ;LOM ;Albert ;**** ;Persistent weak layers ;Buried weak layer of surface hoar ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;Low additional load
2016-01-08 ;2016-01-08 16:08 ;126 ;Hemsedalfjella ;HEMSEDAL ;Siggen@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ;2 - Small ;
2016-01-08 ;2016-01-08 17:16 ;114 ;Narvik ;NARVIK ;Marius@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ; ; ; ; ;The collapsing weak layer is thin < 3 cm. ;3 - Medium ;High additional load
2016-01-08 ;2016-01-08 17:16 ;114 ;Narvik ;NARVIK ;Marius@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ;The collapsing weak layer is thin < 3 cm. ;3 - Medium ;High additional load
2016-01-08 ;2016-01-08 17:16 ;114 ;Narvik ;NARVIK ;Marius@obskorps ;*** ; ; ; ; ; ; ; ; ;
2016-01-08 ;2016-01-08 20:01 ;126 ;Hemsedalfjella ;HEMSEDAL ;knut ;Unknown ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ; ;2 - Small ;High additional load
2016-01-08 ;2016-01-08 22:23 ;108 ;Tromsø ;TROMSØ ;Marianne ;*** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2016-01-09 ;2016-01-09 11:09 ;122 ;Sogn ;LEIKANGER ;martin@obskorps ;*** ; ;Buried weak layer of surface hoar ; ; ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;1 - Harmless (sluff) ;Low additional load
2016-01-09 ;2016-01-09 11:09 ;122 ;Sogn ;LEIKANGER ;martin@obskorps ;*** ;Persistent weak layers ;Buried weak layer of faceted snow above a crust ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2016-01-09 ;2016-01-09 13:01 ;126 ;Hemsedalfjella ;HEMSEDAL ;knut ;Unknown ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ; ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2016-01-09 ;2016-01-09 13:35 ;121 ;Fjordane ;JØLSTER ;brit-siv@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ; ; ;2 - Small ;High additional load
2016-01-09 ;2016-01-09 14:56 ;106 ;Alta ;ALTA ;Johannes@obskorps ;*** ; ; ; ; ; ; ; ; ;
2016-01-09 ;2016-01-09 16:07 ;126 ;Hemsedalfjella ;HEMSEDAL ;knut ;Unknown ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2016-01-09 ;2016-01-09 16:33 ;119 ;Sunnmøre ;ØRSTA ;OMH@VOLUNTARY ;**** ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;Low additional load
2016-01-10 ;2016-01-10 11:52 ;111 ;Lyngsalpan ;LYNGEN ;Patrik@ObsKorps ;**** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ;2 - Small ;Low additional load
2016-01-10 ;2016-01-10 12:24 ;107 ;Kåfjord ;KÅFJORD ;jan arild@NVE ;**** ;Persistent weak layers ;Buried weak layer of faceted snow above a crust ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;3 - Medium ;Low additional load
2016-01-10 ;2016-01-10 12:57 ;108 ;Tromsø ;TROMSØ ;Hans-Jørgen@ObsKorps ;*** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ; ;2 - Small ;Low additional load
2016-01-10 ;2016-01-10 13:48 ;131 ;Svartisen ;MELØY ;AnneMariaLeune@ObsKorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ; ;2 - Small ;High additional load
2016-01-10 ;2016-01-10 13:52 ;131 ;Svartisen ;RANA ;Gøran@ObsKorps ;*** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ;The collapsing weak layer is thin < 3 cm. ;1 - Harmless (sluff) ;High additional load
2016-01-10 ;2016-01-10 13:52 ;131 ;Svartisen ;RANA ;Gøran@ObsKorps ;*** ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ; ; ; ; ;3 - Medium ;High additional load
2016-01-10 ;2016-01-10 17:15 ;119 ;Sunnmøre ;STRANDA ;Stig Løland@obskorps ;*** ;Persistent weak layers ;Buried weak layer of surface hoar ;Dry slab avalanche ; ; ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;Low additional load
2016-01-11 ;2016-01-11 11:39 ;122 ;Sogn ;SOGNDAL ;martin@obskorps ;*** ;Persistent weak layers ;Buried weak layer of faceted snow above a crust ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ; ;2 - Small ;Low additional load
2016-01-11 ;2016-01-11 12:26 ;123 ;Jotunheimen ;VANG ;Jens@SVV ;**** ;Persistent weak layers ;Buried weak layer of surface hoar ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;Low additional load
2016-01-11 ;2016-01-11 12:39 ;107 ;Kåfjord ;KÅFJORD ;jan arild@NVE ;**** ;Persistent weak layers ;Buried weak layer of faceted snow above a crust ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;3 - Medium ;High additional load
2016-01-11 ;2016-01-11 12:39 ;107 ;Kåfjord ;KÅFJORD ;jan arild@NVE ;**** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ; ; ;2 - Small ;High additional load
2016-01-11 ;2016-01-11 13:21 ;111 ;Lyngsalpan ;LYNGEN ;LyngenDavid@ObsKorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ; ;High additional load
2016-01-11 ;2016-01-11 13:21 ;111 ;Lyngsalpan ;LYNGEN ;LyngenDavid@ObsKorps ;*** ; ;Buried weak layer of faceted snow beneath a crust ; ;A big and identifiable crystal in the weak layer. ; ;The overlying slab is soft. ; ; ;
2016-01-11 ;2016-01-11 13:43 ;122 ;Sogn ;SOGNDAL ;martin@obskorps ;*** ;Persistent weak layers ;Buried weak layer of faceted snow above a crust ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ; ;2 - Small ;Low additional load
2016-01-11 ;2016-01-11 13:44 ;125 ;Hallingskarvet ;ULVIK ;finseronny@obskorps ;*** ; ;Buried weak layer of surface hoar ; ;A big and identifiable crystal in the weak layer. ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;Low additional load
2016-01-11 ;2016-01-11 13:56 ;114 ;Narvik ;NARVIK ;Kaj@obskorps ;**** ;Persistent weak layers ;Buried weak layer of faceted snow above a crust ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ; ;The collapsing weak layer is thin < 3 cm. ;3 - Medium ;High additional load
2016-01-11 ;2016-01-11 14:24 ;108 ;Tromsø ;TROMSØ ;bergbjørn@nortind ;Unknown ;Persistent weak layers ;Buried weak layer of surface hoar ;Dry slab avalanche ; ; ; ;The collapsing weak layer is thin < 3 cm. ;3 - Medium ;High additional load
2016-01-11 ;2016-01-11 14:27 ;114 ;Narvik ;NARVIK ;Marius@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ; ; ; ; ; ;3 - Medium ;High additional load
2016-01-11 ;2016-01-11 14:42 ;117 ;Trollheimen ;Oppdal ;torolav@obskorps ;**** ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2016-01-11 ;2016-01-11 22:44 ;126 ;Hemsedalfjella ;HEMSEDAL ;Jørgen@obskorps ;**** ;New snow ;Loose snow ;Loose dry avalanche ; ; ; ; ;2 - Small ;Low additional load
2016-01-11 ;2016-01-11 22:44 ;126 ;Hemsedalfjella ;HEMSEDAL ;Jørgen@obskorps ;**** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ;2 - Small ;High additional load
2016-01-11 ;2016-01-11 15:22 ;127 ;Røldal ;ODDA ;Nils@obskorps ;*** ;Persistent weak layers ;Buried weak layer of surface hoar ;Dry slab avalanche ; ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2016-01-11 ;2016-01-11 15:22 ;127 ;Røldal ;ODDA ;Nils@obskorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
