Antall;Faregrad;Skredproblem;Skredutløser;Svakt lag;Skredtype;Hovedbudskap norsk
6;Fg1 (6);Våte løssnøskred  (6);Liten tilleggsbelastning (6);Ubunden snø (6);Våte løssnøskred  (6);Generelt gunstige forhold. Høye dagtemperaturer gir fare for mindre våte skred. Enkelte glideskred kan også forekomme.;Favorable conditions. Warm daytime-temperatures give increased danger of wet avalanches. Glide avalanches are possible.
5;Fg1 (5);Våte løssnøskred  (5);Liten tilleggsbelastning (5);Ubunden snø (5);Våte løssnøskred  (5);Generelt gunstige forhold. Høye dagtemperaturer og solinnstråling gir fare for mindre våte skred.;Favorable conditions. Warm daytime-temperatures and solar radiation give increased danger of wet avalanches.
18;Fg1 (17), Fg2 (1);Våte løssnøskred  (18);Liten tilleggsbelastning (15), Naturlig utløst (3);Ubunden snø (18);Våte løssnøskred  (18);Generelt gunstige forhold. Høye dagtemperaturer og solinnstråling gir fare for mindre våte skred. Enkelte glideskred kan også forekomme.;Favorable conditions. Warm daytime-temperatures and solar radiation give increased danger of wet avalanches. Glide avalanches are possible.
17;Fg1 (17);Våte løssnøskred  (17);Liten tilleggsbelastning (17);Ubunden snø (17);Våte løssnøskred  (17);Generelt gunstige forhold. Høye dagtemperaturer og solinnstråling gir fare for mindre, våte skred.;Favorable conditions. Warm daytime-temperatures and solar radiation give increased danger of wet avalanches.
1;Fg1 (1);Våte løssnøskred  (1);Liten tilleggsbelastning (1);Ubunden snø (1);Våte løssnøskred  (1);Generelt gunstige forhold. Litt nedbør gir fare for mindre våte skred.;Favorable conditions. Rain give increased danger of wet avalanches.
1;Fg1 (1);Våte løssnøskred  (1);Liten tilleggsbelastning (1);Ubunden snø (1);Våte løssnøskred  (1);Generelt gunstige forhold. Litt regn gir fare for mindre våte skred.;Favorable conditions. Rain and some snow high up give increased danger of wet avalanches.
75;Fg1 (75);Våte løssnøskred  (75);Liten tilleggsbelastning (55), Naturlig utløst (17), Stor tilleggsbelastning (3);Ubunden snø (75);Våte løssnøskred  (75);Generelt gunstige forhold. Men husk at selv små skred kan være farlige i/ved terrengfeller.;Favorable conditions. But remember that small avalanches can be dangerous in terrain traps.
2;Fg1 (2);Våte løssnøskred  (2);Liten tilleggsbelastning (2);Ubunden snø (2);Våte løssnøskred  (2);Generelt gunstige forhold. Regn gir fare for mindre våte skred. Glideskred kan forekomme.;Favorable conditions. Rain give increased danger of wet avalanches. Glide avalanches are possible.
1;Fg1 (1);Våte løssnøskred  (1);Liten tilleggsbelastning (1);Ubunden snø (1);Våte løssnøskred  (1);Generelt gunstige forhold. Regn og litt snø i høgda gir fare for mindre våte skred.;Favorable conditions. Rain and some snow high up give increased danger of wet avalanches.
7;Fg1 (7);Våte løssnøskred  (7);Naturlig utløst (5), Liten tilleggsbelastning (2);Ubunden snø (7);Våte løssnøskred  (7);Generelt gunstige forhold. Regn og litt snø i høgda gir fare for mindre våte skred. Glideskred kan forekomme.;Favorable conditions. Rain can give increased danger of wet avalanches. Glide avalanches are possible. Higher up where the precipitation comes as snow it is possible to trigger small slab avalanches.
1;Fg1 (1);Våte løssnøskred  (1);Stor tilleggsbelastning (1);Ubunden snø (1);Våte løssnøskred  (1);Generelt gunstige forhold. Regn og litt snø i høyden gir fare for små våte skred.;Favorable conditions. Rain can give increased danger of wet avalanches. Higher up where the precipitation comes as snow it is possible to trigger small slab avalanches.
1;Fg1 (1);Våte løssnøskred  (1);Naturlig utløst (1);Ubunden snø (1);Våte løssnøskred  (1);Generelt gunstige forhold. Regn og litt snø i høyden gir fare for små våte skred. Glideskred kan forekomme.;Favorable conditions. Rain can give increased danger of wet avalanches. Glide avalanches are possible. Higher up where the precipitation comes as snow it is possible to trigger small slab avalanches.
1;Fg1 (1);Glideskred (1);Naturlig utløst (1);Vann ved bakken/smelting fra bakken (1);Våte flakskred (1);Generelt gunstige forhold. Regn og varme gir fare for mindre våte skred. Glideskred kan forekomme.;Favorable conditions. Rain and heat give increased danger of wet avalanches. Glide avalanches are possible.
2;Fg1 (2);Våte løssnøskred  (2);Liten tilleggsbelastning (2);Ubunden snø (2);Våte løssnøskred  (2);Generelt gunstige forhold. Varmeauke gjennom dagen gir fare for mindre våte skred.;Favorable conditions. Heat give increased danger of wet avalanches.
3;Fg1 (3);Våte løssnøskred  (3), Våte flakskred (2);Naturlig utløst (3), Stor tilleggsbelastning (2);Ubunden snø (3), Kantkornet snø under skarelag (2);Våte løssnøskred  (3), Våte flakskred (2);Generelt gunstige forhold. Vær forsiktig i bratte heng med myk, våt snø. Men husk at selv små skred kan være farlige i/ved terrengfeller.;In general stable conditions. Be careful on steep slopes with soft and wet snow, a skier can trigger avalanches here. Keep distance to cornices and areas with glide-cracks. Remember that small avalanches can be dangerous in terrain traps. Persistent weak layers can be triggered at high elevations in isolated areas.
2;Fg1 (2);Våte løssnøskred  (2);Liten tilleggsbelastning (2);Ubunden snø (2);Våte løssnøskred  (2);Generelt gunstige og forutsigbare forhold. Men husk at selv små skred kan være farlige i/ved terrengfeller.;Favorable and predictable conditions. But remember that small avalanches can be dangerous in terrain traps.
2;Fg2 (2);Fokksnø (2);Stor tilleggsbelastning (2);Dårlig binding mellom lag i fokksnøen (2);Tørre flakskred (2);Generelt hard snøoverflate og stabile forhold men vær forsiktig i leområder med fokksnø, spesielt der fokksnøen er myk.;Generally hard snowcover and stable conditions, but you should still be careful in areas with fresh wind deposited snow.
1;Fg2 (1);Fokksnø (1), Nysnøflak (1);Stor tilleggsbelastning (2);Dårlig binding mellom lag i fokksnøen (1), Nedføyket svakt lag med nysnø (1);Tørre flakskred (2);Generelt hard snøoverflate og stabile forhold, men vær forsiktig der det ligger fokksnø i bratte leformasjoner. Ferske nysnøflak kan dannes siste del av dagen.;Generally hard snowcover and stable conditions, but you should still be careful in areas with wind deposited snow. Soft windslabs can be formed in the evening.
2;Fg2 (2);Nysnøflak (2), Fokksnø (2);Stor tilleggsbelastning (4);Nedføyket svakt lag med nysnø (2), Dårlig binding mellom lag i fokksnøen (2);Tørre flakskred (4);Generelt hard snøoverflate og stabile forhold, men vær forsiktig der det ligger fokksnø i bratte leområder. Ferske nysnøflak kan dannes siste del av dagen.;Generally hard snowcover and stable conditions, but you should still be careful in areas with wind deposited snow. Soft windslabs can be formed in the evening.
2;Fg1 (2);Nysnøflak (2);Liten tilleggsbelastning (1), Stor tilleggsbelastning (1);Nedføyket svakt lag med nysnø (2);Tørre flakskred (2);Generelt lite snø og hard snøoverflate, men i områder hvor det kommer nedbør kan man i enkelte leformasjoner løse ut flak av innblåst nysnø.;Not much snow and genreally safe conditions. Smaller slabs of wind deposited snow can be triggered in isolated features.
2;Fg2 (2);Fokksnø (2);Liten tilleggsbelastning (2);Dårlig binding mellom lag i fokksnøen (1), Nedføyket svakt lag med nysnø (1);Tørre flakskred (2);Generelt lite snø, men små flak av fokksnø kan utløses i formasjoner som samler snø. Øst i regionen vil nysnø og vind gi ferske fokksnøansamlinger.;Smaller slabs of wind deposited snow can be triggered in isolated features. Eastern parts generally have more snow and windslabs.
2;Fg1 (2);Fokksnø (2);Stor tilleggsbelastning (2);Nedføyket svakt lag med nysnø (2);Tørre flakskred (2);Generelt stabile fohold. Enkelte områder kan ha ustabil fokksnø.;Generally safe conditions. Use caution on isolated features in the alpine, as wind slabs from earlier this week can be triggered. A persistent weak layer is lingering in the snowpack, but not reactive.
2;Fg2 (2);Våte løssnøskred  (2), Våte flakskred (2);Naturlig utløst (4);Ubunden snø (2), Opphopning av vann i/over lag i snødekket (2);Våte løssnøskred  (2), Våte flakskred (2);Generelt stabile forhold første del av dagen. Faren for våte skred øker på kvelden når regnet kommer. Vær varsom i løsneområder og utløpsområder for skred.;Generally stable conditions until the rain sets in late afternoon. Naturally released avalanches can occur in the evening. Glide avalanches are possible. Keep distance from cornices and areas with glide-cracks.
2;Fg2 (2);Vedvarende svakt lag (2), Fokksnø (2);Liten tilleggsbelastning (4);Nedsnødd eller nedføyket overflaterim (2), Dårlig binding mellom lag i fokksnøen (2);Tørre flakskred (4);Generelt stabile forhold men vær forsiktig i forsenkninger og søkk der fokksnø har lagt seg oppå et tynt lag med overflaterim.;Generally stable conditions, but be careful in areas with soft slabs. A weak layer of buried surface hoar can be present underneath soft slabs in isolated features.
3;Fg2 (3);Vedvarende svakt lag (4), Fokksnø (3);Stor tilleggsbelastning (4), Liten tilleggsbelastning (3);Nedføyket svakt lag med nysnø (3), Nedsnødd eller nedføyket kantkornet snø (3), Nedsnødd eller nedføyket overflaterim (1);Tørre flakskred (7);Generelt stabile forhold men vær forsiktig i leområde med fokksnø. Det finst lomme med svake lag under den vindtransporterte snøen.;Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow. Be aware that there can be pockets with persistent weak layer beneath wind deposited snow.
4;Fg2 (4);Vedvarende svakt lag (5), Fokksnø (4);Stor tilleggsbelastning (5), Liten tilleggsbelastning (4);Nedføyket svakt lag med nysnø (4), Nedsnødd eller nedføyket kantkornet snø (4), Nedsnødd eller nedføyket overflaterim (1);Tørre flakskred (9);Generelt stabile forhold men vær forsiktig i leområde med fokksnø. Det finst lommer med svake lag under den vindtransporterte snøen.;Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow. Be aware that there can be pockets with persistent weak layer beneath wind deposited snow.
1;Fg2 (1);Vedvarende svakt lag (2), Fokksnø (1);Stor tilleggsbelastning (2), Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1), Nedsnødd eller nedføyket kantkornet snø (1), Nedsnødd eller nedføyket overflaterim (1);Tørre flakskred (3);Generelt stabile forhold men vær forsiktig i leområde med fokksnø. Det finst svake lag under den vindtransporterte snøen.;Generally stable conditions, but be careful in areas with fresh wind deposited snow. There can be persistent weak layer under windslabs.
1;Fg2 (1);Fokksnø (1), Vedvarende svakt lag (1);Liten tilleggsbelastning (1), Stor tilleggsbelastning (1);Dårlig binding mellom lag i fokksnøen (1), Kantkornet snø under skarelag (1);Tørre flakskred (2);Generelt stabile forhold men vær forsiktig i leområder med fokksnø, spesielt der fokksnøen er myk.;Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow.
3;Fg2 (3);Fokksnø (3);Stor tilleggsbelastning (2), Liten tilleggsbelastning (1);Dårlig binding mellom lag i fokksnøen (3);Tørre flakskred (3);Generelt stabile forhold men vær forsiktig i leområder med fokksnø.;Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow.
24;Fg2 (23), Fg1 (1);Fokksnø (25), Vedvarende svakt lag (19);Liten tilleggsbelastning (23), Stor tilleggsbelastning (21);Nedføyket svakt lag med nysnø (14), Dårlig binding mellom lag i fokksnøen (10), Nedsnødd eller nedføyket overflaterim (9), Nedsnødd eller nedføyket kantkornet snø (5), Kantkornet snø under skarelag (3), Kantkornet snø over skarelag (2), Dårlig binding mellom glatt skare og overliggende snø (1);Tørre flakskred (44);Generelt stabile forhold men vær forsiktig i leområder med fokksnø. Det finnes lommer med svake lag under den vindtransporterte snøen.;Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow. Be aware that there can be pockets with persistent weak layer beneath wind deposited snow.
1;Fg2 (1);Fokksnø (1);Stor tilleggsbelastning (1);Dårlig binding mellom lag i fokksnøen (1);Tørre flakskred (1);Generelt stabile forhold men vær forsiktig i leområder med fokksnø. I ytre strøk vil faregraden ligge på 1-liten.;Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow.
5;Fg2 (5);Fokksnø (5);Stor tilleggsbelastning (5);Dårlig binding mellom lag i fokksnøen (5);Tørre flakskred (5);Generelt stabile forhold men vær forsiktig i leområder med myk fokksnø.;Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow.
1;Fg2 (1);Fokksnø (1), Vedvarende svakt lag (1);Stor tilleggsbelastning (2);Dårlig binding mellom lag i fokksnøen (1), Nedsnødd eller nedføyket kantkornet snø (1);Tørre flakskred (2);Generelt stabile forhold men vær forsiktig i leområder med myk fokksnø. Det finnes lommer med svake lag under den vindtransporterte snøen.;Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow. Be aware that there can be pockets with persistent weak layer beneath wind deposited snow.
1;Fg2 (1);Fokksnø (1);Stor tilleggsbelastning (1);Dårlig binding mellom lag i fokksnøen (1);Tørre flakskred (1);Generelt stabile forhold men vær forsiktig i renenr og søkk der fokksnøen er mjuk.;Generally stable conditions, but be careful in areas with soft slabs in isolated features.
1;Fg2 (1);Fokksnø (1);Stor tilleggsbelastning (1);Dårlig binding mellom lag i fokksnøen (1);Tørre flakskred (1);Generelt stabile forhold men vær forsiktig i renner og søkk der fokksnøen er mjuk.;Generally stable conditions, but be careful in areas with soft slabs in isolated features.
3;Fg1 (3);Vedvarende svakt lag (2), Dypt vedvarende svakt lag (1);Stor tilleggsbelastning (3);Kantkornet snø under skarelag (2), Kantkornet snø over skarelag (1);Tørre flakskred (3);Generelt stabile forhold nå, men det finnes kantkornlag nede i snødekket.;Generally stable conditions, but there is potensially weak layers in the snowpack.
1;Fg1 (1);Fokksnø (1);Stor tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1);Tørre flakskred (1);Generelt stabile forhold, kun mulighet for å løse ut skred i noen få leheng hvor fokksnø har samlet seg.;Generally stable conditions, but wind slabs can be present in isolated features. Facets have been observed under layers of crust, but are not expected to give avalanche problems due to hard snow covering the weak layer.
55;Fg1 (55);Fokksnø (55);Stor tilleggsbelastning (38), Liten tilleggsbelastning (17);Dårlig binding mellom glatt skare og overliggende snø (37), Dårlig binding mellom lag i fokksnøen (11), Nedføyket svakt lag med nysnø (7);Tørre flakskred (55);Generelt stabile forhold, kun mulighet for å løse ut skred i noen få leheng med fokksnøansamlinger.;Generally stable conditions, but wind slabs can be present in isolated features.
4;Fg1 (4);Fokksnø (4);Stor tilleggsbelastning (4);Dårlig binding mellom glatt skare og overliggende snø (4);Tørre flakskred (4);Generelt stabile forhold, kun mulighet for å løse ut små skred i noen få leheng med fokksnø.;Generally stable conditions, but wind slabs may be present in isolated features. A persistent weak layer is present in the snow-pack, but is not active/able to propagate.
1;Fg1 (1);Dypt vedvarende svakt lag (1);Stor tilleggsbelastning (1);Kantkornet snø over skarelag (1);Tørre flakskred (1);Generelt stabile forhold, men der finnes kantkornlag nede i snødekket.;Generally stable conditions, but there is potensially weak layers in the snowpack.
3;Fg1 (3);Fokksnø (3);Stor tilleggsbelastning (3);Dårlig binding mellom lag i fokksnøen (2), Nedføyket svakt lag med nysnø (1);Tørre flakskred (3);Generelt stabile forhold, men det finnes enkelte områder med ustabile fokksnøflak.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. A weak layer of facets can be present underneath fresh wind deposited snow on isolated features.
6;Fg1 (6);Våte løssnøskred  (6);Liten tilleggsbelastning (5), Naturlig utløst (1);Ubunden snø (6);Våte løssnøskred  (6);Generelt stabile forhold, men fare for naturlig utløste våte skred i bratte solutsatte fjellsider.;Generally stable conditions, but danger of wet avalanches in sunexposed mountainsides.
6;Fg1 (6);Våte løssnøskred  (6);Naturlig utløst (4), Liten tilleggsbelastning (2);Ubunden snø (6);Våte løssnøskred  (6);Generelt stabile forhold, men muligheter for naturlig utløste våte skred i bratte fjellsider.;In general stable conditions. Be careful on steep slopes with soft and wet snow, a skier can trigger avalanches here. Keep distance to cornices and areas with glide-cracks. Remember that small avalanches can be dangerous in terrain traps.
1;Fg2 (1);Fokksnø (1);Stor tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1);Tørre flakskred (1);Generelt stabile forhold, men vær forsiktig i forsenkninger og søkk der fokksnø kan ha lagt seg oppå et lag med overflaterim.;Generally stable conditions, but be careful in areas with soft slabs. A weak layer of buried surface hoar can be present underneath soft slabs in isolated features.
4;Fg1 (4);Fokksnø (4);Stor tilleggsbelastning (4);Dårlig binding mellom lag i fokksnøen (4);Tørre flakskred (4);Generelt stabile forhold, men vær forsiktig i leområder med fokksnø.;Generally stable conditions, but you should still be careful in areas with wind deposited snow
2;Fg2 (2);Fokksnø (2), Vedvarende svakt lag (2);Stor tilleggsbelastning (4);Dårlig binding mellom lag i fokksnøen (2), Nedsnødd eller nedføyket overflaterim (2);Tørre flakskred (4);Generelt stabile forhold, men vær forsiktig i leområder med fokksnø. Det finnes lommer med svake lag under den vindtransporterte snøen i høyden.;Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow. Be aware that there can be pockets with persistent weak layer beneath wind deposited snow in the alpine.
5;Fg2 (5);Fokksnø (5), Vedvarende svakt lag (5);Stor tilleggsbelastning (9), Liten tilleggsbelastning (1);Dårlig binding mellom lag i fokksnøen (4), Nedsnødd eller nedføyket overflaterim (2), Nedsnødd eller nedføyket kantkornet snø (2), Nedføyket svakt lag med nysnø (1), Kantkornet snø over skarelag (1);Tørre flakskred (10);Generelt stabile forhold, men vær forsiktig i leområder med fokksnø. Det finnes lommer med svake lag under den vindtransporterte snøen.;Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow. Be aware that there can be pockets with persistent weak layer beneath wind deposited snow.
10;Fg1 (9), Fg2 (1);Vedvarende svakt lag (10), Fokksnø (9);Stor tilleggsbelastning (16), Liten tilleggsbelastning (3);Dårlig binding mellom lag i fokksnøen (8), Nedsnødd eller nedføyket kantkornet snø (7), Nedsnødd eller nedføyket overflaterim (3), Nedføyket svakt lag med nysnø (1);Tørre flakskred (19);Generelt stabile forhold, men vær forsiktig i leområder med fokksnø. Det finnes lommer med vedvarende svake lag under den vindtransporterte snøen.;Generally stable conditions, but you should still be careful in areas with wind deposited snow. Be aware that there can be pockets with persistent weak layer beneath wind deposited snow.
3;Fg1 (3);Vedvarende svakt lag (3), Fokksnø (3);Stor tilleggsbelastning (6);Nedsnødd eller nedføyket overflaterim (3), Dårlig binding mellom lag i fokksnøen (3);Tørre flakskred (6);Generelt stabile forhold, men vær forsiktig i leområder med fokksnø. Det kan finnes lommer med svake lag under den vindtransporterte snøen i høyden.;Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow. Be aware that there can be pockets with persistent weak layer beneath wind deposited snow in the alpine.
1;Fg2 (1);Fokksnø (1);Stor tilleggsbelastning (1);Dårlig binding mellom lag i fokksnøen (1);Tørre flakskred (1);Generelt stabile forhold, men vær forsiktig i leområder med myk fokksnø.;Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow.
3;Fg1 (3);Fokksnø (3);Stor tilleggsbelastning (3);Dårlig binding mellom lag i fokksnøen (3);Tørre flakskred (3);Generelt stabile forhold, men vær likevel forsiktig i bratt terreng der fokksnøen er mjuk.;Generally stable conditions, but be careful in steep terrain, especially where wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
47;Fg1 (47);Fokksnø (45), Vedvarende svakt lag (3);Stor tilleggsbelastning (41), Liten tilleggsbelastning (7);Nedføyket svakt lag med nysnø (24), Dårlig binding mellom lag i fokksnøen (20), Dårlig binding mellom glatt skare og overliggende snø (1), Nedsnødd eller nedføyket kantkornet snø (1), Kantkornet snø under skarelag (1), Nedsnødd eller nedføyket overflaterim (1);Tørre flakskred (48);Generelt stabile forhold, men vær likevel forsiktig i bratt terreng der fokksnøen er myk.;Generally stable conditions, but be careful in steep terrain, especially where wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
1;Fg1 (1);Fokksnø (1);Stor tilleggsbelastning (1);Dårlig binding mellom lag i fokksnøen (1);Tørre flakskred (1);Generelt stabile forhold, men vær likevel forsiktig i bratt terreng der fokksnøen er myk. Kommer det noe nysnø vil skredfaren øke.;Generally stable conditions, but be careful in steep terrain, especially where wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here. Some new snow may hit the southwest part of Lofoten and increase the avalanche danger locally.
1;Fg1 (1);Fokksnø (1);Stor tilleggsbelastning (1);Dårlig binding mellom lag i fokksnøen (1);Tørre flakskred (1);Generelt stabile forhold, men vær likevel forsiktig i bratt terreng der fokksnøen er myk. Kommer det nysnø vil skredfaren øke.;Generally stable conditions. Be careful in steep terrain, especially where wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here. Snowfall will increase the avalanche danger.
2;Fg2 (2);Fokksnø (2), Vedvarende svakt lag (2);Stor tilleggsbelastning (2), Liten tilleggsbelastning (2);Nedføyket svakt lag med nysnø (2), Nedsnødd eller nedføyket overflaterim (2);Tørre flakskred (4);Generelt stabile forhold, men vær likevel forsiktig i bratt terreng der fokksnøen er myk. Nedsnødd rim kan være et problem enkelte steder.;Generally stable conditions, but be careful in steep terrain, especially where wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here. A persistent weak layer of recently burried surface hoar may be a problem in isolated places.
5;Fg1 (5);Fokksnø (5);Stor tilleggsbelastning (5);Dårlig binding mellom lag i fokksnøen (4), Nedføyket svakt lag med nysnø (1);Tørre flakskred (5);Generelt stabile forhold, men vær likevel forsiktig i bratt terreng høyt til fjells der fokksnøen er myk.;Generally stable conditions, but be careful in steep terrain in the alpine, especially where wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
1;Fg1 (1);Vedvarende svakt lag (1);Liten tilleggsbelastning (1);Nedsnødd eller nedføyket overflaterim (1);Tørre flakskred (1);Generelt stabile forhold, men vær likevel forsiktig i bratt terreng med fokksnø som enkelte steder kan ligge over nedføyket overflaterim.;Generally stable conditions, but be careful in steep terrain with wind deposited snow. The wind deposited snow may locally rest on a persistant weak layer of buried surface hoar.
13;Fg1 (13);Fokksnø (11), Vedvarende svakt lag (2);Liten tilleggsbelastning (11), Stor tilleggsbelastning (2);Dårlig binding mellom lag i fokksnøen (4), Dårlig binding mellom glatt skare og overliggende snø (4), Nedføyket svakt lag med nysnø (3), Nedsnødd eller nedføyket overflaterim (2);Tørre flakskred (13);Generelt stabile forhold, men vær likevel forsiktig i bratt terreng med fokksnø.;Generally stable conditions, but be careful in steep terrain, especially where wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
7;Fg1 (7);Vedvarende svakt lag (7);Liten tilleggsbelastning (7);Nedsnødd eller nedføyket kantkornet snø (7);Tørre flakskred (7);Generelt stabile forhold, men vær likevel forsiktig i bratt terreng med små fokksnøflak som kan ligge over vedvarende svakt lag.;Generally stable conditions. Be careful in steep terrain with wind deposited snow. A persistant weak layer of facets may be present beneath small wind slabs.
2;Fg1 (2);Fokksnø (2), Vedvarende svakt lag (1);Stor tilleggsbelastning (2), Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (2), Nedsnødd eller nedføyket overflaterim (1);Tørre flakskred (3);Generelt stabile forhold, men vær oppmerksom i leområder med fokksnø. Det kan finnes lommer med svake lag under den vindtransporterte snøen i høyden.;Generally stable conditions, but you should still be careful in areas with wind deposited snow. Be aware that there can be pockets with persistent weak layer beneath wind deposited snow in the alpine.
2;Fg1 (2);Nysnøflak (2);Liten tilleggsbelastning (2);Nedføyket svakt lag med nysnø (2);Tørre flakskred (2);Generelt stabile forhold, men vær oppmerksom i områder med fokksnø.;Generally stabile conditions, but be aware in areas with wind slabs
2;Fg1 (2);Fokksnø (2);Stor tilleggsbelastning (2);Nedføyket svakt lag med nysnø (2);Tørre flakskred (2);Generelt stabile forhold, men vær varsom i bratt terreng der vinden har lagt fra seg ferske fokksnøflak.;General stabile conditions, but be careful in steep terrain with fresh wind deposited snow. Be aware of rime and faceted snow under icelayers in the snow-pack.
5;Fg1 (5);Fokksnø (5);Stor tilleggsbelastning (5);Dårlig binding mellom lag i fokksnøen (5);Tørre flakskred (5);Generelt stabile forhold, men vær varsom i leområder med fokksnø.;Generally stable conditions, but you should still be careful in areas with wind deposited snow. A persistent weak layer is present within the snowpack, but also on the surface. The weak layers are not a concern at the moment.
47;Fg1 (47);Fokksnø (44);Stor tilleggsbelastning (38), Liten tilleggsbelastning (6);Dårlig binding mellom glatt skare og overliggende snø (34), Nedføyket svakt lag med nysnø (6), Dårlig binding mellom lag i fokksnøen (4);Tørre flakskred (44);Generelt stabile forhold.;Generally stable conditions, but wind slabs may be present in isolated features. A persistent weak layer is present in the snow-pack, but is not active/able to propagate.
1;Fg2 (1);Fokksnø (1), Vedvarende svakt lag (1);Stor tilleggsbelastning (2);Dårlig binding mellom lag i fokksnøen (1), Nedsnødd eller nedføyket overflaterim (1);Tørre flakskred (2);Generelt stabile forhold. Det finns lommer med svake lag djupt i snødekket.;Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow. Be aware that there can be pockets with persistent weak layer beneath wind deposited snow.
5;Fg1 (5);Fokksnø (5);Stor tilleggsbelastning (5);Nedføyket svakt lag med nysnø (5);Tørre flakskred (5);Generelt stabile forhold. Det kan finnes enkelte ustabile områder med fokksnø i høyden.;Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow. Be aware that there can be pockets with persistent weak layer beneath wind deposited snow.
1;Fg1 (1);Glideskred (1), Våte løssnøskred  (1);Naturlig utløst (1), Liten tilleggsbelastning (1);Vann ved bakken/smelting fra bakken (1), Ubunden snø (1);Våte flakskred (1), Våte løssnøskred  (1);Generelt stabile forhold. Enkelte glideskred kan forekomme. Vær obs på skavler. Høy dagtemperatur og solinnstråling gir fare for å løse ut små våte løssnøskred.;Generally stable conditions. Glide avalanches are possible. Keep distance from cornices and areas with glide-cracks. Rising temperatures and solar radiation increase the risk to trigger small wet avalanches during daytime.
10;Fg1 (10);Fokksnø (10);Stor tilleggsbelastning (10);Dårlig binding mellom lag i fokksnøen (10);Tørre flakskred (10);Generelt stabile forhold. Enkelte områder i høyfjellet kan ha litt ustabil fokksnø.;Generally safe avalanche conditions. There is a persistent weak layer in the snowpack, but it is not reactive to triggering from skiers.
4;Fg1 (4);Nysnøflak (8);Stor tilleggsbelastning (8);Nedføyket svakt lag med nysnø (4), Dårlig binding mellom glatt skare og overliggende snø (4);Tørre flakskred (8);Generelt stabile forhold. Enkelte steder kan nysnøen ha samlet seg til ustabile flak.;Mostly stable conditions. A weak interface between the new snow and the dec. 20 melt/freeze crust may be present on specific terrain. Surface hoar is forming.
1;Fg1 (1);Våte løssnøskred  (1), Nysnøflak (1);Naturlig utløst (1), Stor tilleggsbelastning (1);Ubunden snø (1), Nedføyket svakt lag med nysnø (1);Våte løssnøskred  (1), Tørre flakskred (1);Generelt stabile forhold. Ha ulik tilnærming til vått og tørt snødekke. Faren for våte skred øker utover dagen.;Generally stable avalanche conditions, but the danger for small wet avalanches increases as the temperature rises. Its time to switch to spring mode and remember to use slightly different approaches on wet and dry snow.
7;Fg1 (7);Våte løssnøskred  (7);Liten tilleggsbelastning (7);Ubunden snø (7);Våte løssnøskred  (7);Generelt stabile forhold. Høy dagtemperatur og solinnstråling gir fare for mindre våte skred utover ettermiddagen. Vær spesielt oppmerksom nær terrengfeller.;Generally stable conditions. Warm daytime-temperatures and solar radiation give increased danger of wet avalanches during the afternoon. Pay particular attention to terrain traps.
7;Fg1 (7);Våte løssnøskred  (7);Liten tilleggsbelastning (7);Ubunden snø (7);Våte løssnøskred  (7);Generelt stabile forhold. Høy dagtemperatur og solinnstråling gir fare for mindre, våte skred utover ettermiddagen. Vær spesielt oppmerksom nær terrengfeller.;Generally stable conditions. Warm daytime-temperatures and solar radiation give increased danger of wet avalanches during the afternoon. Glide avalanches are possible.
4;Fg1 (4);Våte løssnøskred  (4);Liten tilleggsbelastning (4);Ubunden snø (4);Våte løssnøskred  (4);Generelt stabile forhold. Høy dagtemperatur og solinnstråling gir fare for å løse ut små våte løssnøskred. Enkelte glideskred kan forekomme. Vær obs på skavler.;Generally stable conditions. Rising temperatures and solar radiation increase the risk to trigger small wet avalanches during daytime. Glide avalanches are possible. Keep distance from cornices and areas with glide-cracks.
