Antall	Faregrad	Hovedskredproblem	Skredproblem	Skredtype	Hovedbudskap norsk	Hovedbudskap engelsk
3	Fg3 (3)	Fokksnø (3), Våt snø (2)	Lag med løs nysnø (3), Regn/temperaturstigning (2)	Tørre flakskred (3), Våte flakskred (2)	Krevende forhold. Lokalt mye nedbør. Ustabile nysnøflak i høyfjellet. Vått snødekke i lavlandet.	Low pressure system will keep generating a lot of rain at lower elevations. Storm slabs will form at higher elevations. Use caution above treeline. Things will need a bit of time to stabilize.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Krevende forhold. Moderate til svake bindinger i mange heng. Ustabile flak av fersk fokksnø i høyfjellet.	Moderate to poor bondings on many steep slopes. Storm slabs will form at higher elevations. Use caution above treeline. Things will need a bit of time to stabilize.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Krevende forhold. Moderate til svake bindinger i mange heng. Ustabile nysnøflak i høyfjellet.	Moderate to poor bondings on many steep slopes. Storm slabs will form at higher elevations. Use caution above treeline. Things will need a bit of time to stabilize.
2	Fg3 (2)	Vedvarende svakt lag (2), Fokksnø (2)	Lag med løs nysnø (2), Lag med overflaterim (2)	Tørre flakskred (4)	Krevende forhold. Nysnø og nedsnødd rimlag skaper problem i flere områder. Utvis stor varsomhet.	Challenging conditions. Be careful with storm slabs and burried layer of surface hoar.
2	Fg3 (2)	Vedvarende svakt lag (2), Fokksnø (2)	Lag med løs nysnø (2), Glatt skare (2)	Tørre flakskred (4)	Krevende forhold. Polart lavtrykk kan gi store lokale forskjeller i nysnømengde. Nysnøen vil stedvis legge seg rett på glatt skare og rimlag. Utvis aktsomhet.	Challenging conditions. Low pressure may cause large local differences in precipitation and wind. Storm slab will form directly onto crust layer and areas with buried layer of surface hoar.
1	Fg3 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Glatt skare (1)	Tørre flakskred (2)	Krevende forhold. Polart lavtrykk kan gi store lokale forskjeller i nysnømengde. Nysnøen vil stedvis legge seg rett på glatt skare.	Moderate conditions. Low pressure may cause large local differences in precipitation and wind. Storm slab will form directly onto crust layer and areas with buried layer of surface hoar.
2	Fg3 (2)	Vedvarende svakt lag (2), Fokksnø (2)	Lag med løs nysnø (2), Lag med overflaterim (2)	Tørre flakskred (4)	Krevende forhold. Polart lavtrykk kan gi store lokale forskjeller i nysnømengde. Overflaterim ligger nedsnødd i flere områder. Utvis stor varsomhet.	Challenging conditions. Low pressure may cause large local differences in precipitation and wind. Storm slab will form directly onto crust layer and areas with buried layer of surface hoar.May reach High danger towards Thursday evening.
3	Fg3 (2), Fg4 (1)	Vedvarende svakt lag (3), Fokksnø (3)	Lag med løs nysnø (3), Glatt skare (3)	Tørre flakskred (6)	Krevende forhold. Polart lavtrykk med bygevær kan gi store lokale forskjeller. Vær svært varsom i leområder med nysnøflak.	Challenging conditions. Low pressure may cause large local differences in precipitation and wind. Storm slab will form directly onto crust layer.
1	Fg3 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Lag med kantkornet snø (1)	Tørre flakskred (2)	Krevende forhold. Unngå leområder hvor det legger seg opp fersk nysnø/fokksnø. Svake lag i snødekket gir en utfordrende situasjon i fjellet.	Demanding conditions. Avoid areas with fresh wind deposited snow. It is also possible to trigger avalanches in a persistant weak layer in the old snow in bowls and gullies in all expositions, above the level where rain Monday affected the snow cover.
4	Fg3 (4)	Vedvarende svakt lag (4), Fokksnø (4)	Lag med løs nysnø (4), Lag med kantkornet snø (4)	Tørre flakskred (8)	Krevende forhold. Unngå leområder hvor det legger seg opp fersk nysnø/fokksnø. Svake lag i snødekket gir en utfordrende situasjon over mildværsgrensa fra mandag.	Demanding conditions. Avoid areas with fresh wind deposited snow. It is also possible to trigger avalanches in a persistant weak layer in the old snow in bowls and gullies in all expositions, above the level where rain Monday affected the snow cover.
3	Fg3 (3)	Fokksnø (3)	I fokksnøen (3)	Tørre flakskred (3)	Krevende forhold. Unngå områder hvor det legger seg opp fersk fokksnø.	Demanding conditions. Avoid lee areas with fresh wind deposited snow.
2	Fg3 (2)	Fokksnø (2)	Lag med løs nysnø (2)	Tørre flakskred (2)	Krevende forhold. Unngå områder med ferske nysnøflak.	Dangerous avalanche conditions. Small wind slabs could still be triggered by light loading.
1	Fg3 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Lag med kantkornet snø (1)	Tørre flakskred (2)	Krevende forhold. Unngå terrengfeller og bratte heng til nysnøen har stabilisert seg.	Avoid terrain traps and big steep slopes. Wait until the fresh snow has stabilized. There are still weak layers in the snowpack above the treeline.
1	Fg3 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Lag med kantkornet snø (1)	Tørre flakskred (2)	Krevende forhold. Unngå terrengfeller og bratte heng til nysnøen har stabilisert seg. Fare for naturlig utløste skred.	Avoid terrain traps and big steep slopes. Wait until the fresh snow has stabilized. There are still week layers in the snowpack above the treeline.
2	Fg3 (2)	Vedvarende svakt lag (2), Fokksnø (2)	Lag med løs nysnø (2), Lag med kantkornet snø (2)	Tørre flakskred (4)	Krevende forhold. Unngå terrengfeller og bratte heng til nysnøen har stabilisert seg. Små skred kan trigge svake lag dypere ned.	Avoid terrain traps and big steep slopes. Wait until the fresh snow has stabilized. There are still week layers in the snowpack above the treeline.
1	Fg3 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med overflaterim (1)	Tørre flakskred (2)	Krevende forhold. Utbredt rimlag nede i snødekket og ansamlinger av fersk fokksnø. Leområder er mest utsatt.	Aviod lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Be aware of a persistant weak layer of surface hoar buried by windslabs.
1	Fg3 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med overflaterim (1)	Tørre flakskred (2)	Krevende forhold. Utbredt rimlag nede i snødekket og ansamlinger av fersk fokksnø. Stigende temperatur fører til nø økt skredfare.	Aviod lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Be aware of a persistant weak layer of surface hoar buried by windslabs. Rising temprature wil cause a rise in danger.
1	Fg3 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med overflaterim (1)	Tørre flakskred (2)	Krevende forhold. Utbredt rimlag nede i snødekket og ansamlinger av fersk fokksnø. Utvis stor varsomhet inntil videre.	Dangerous conditions. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Be aware of a persistant weak layer of surface hoar buried by windslabs.
2	Fg3 (2)	Vedvarende svakt lag (2), Fokksnø (2)	Lag med løs nysnø (2), Glatt skare (2)	Tørre flakskred (4)	Krevende forhold. Vær obs på svake lag i snødekket og at det kan være store lokale forskjeller i nysnø og vindtransportert snø.	Challenging conditions. Be careful with peristent weak layers, as well as wind and storm slabs - there will be local differences in precipitation and wind.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Krevende forhold. Vær varsom i områder med lokalt store nysnøflak.	Challenging conditions. Use caution in areas where storm slabs has formed. A layer facets and and a layer of depth hoar lurk in the snowpack, but not a big issue at the moment.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Krevende forhold. Vær varsom i skoggrensen og unngå områder med ferske nysnøflak. Drønn og oppsprekkende snø er faretegn.	Dangerous avalanche conditions. Use caution at and above treeline. Storm slab are triggered by light loads.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Krevende i fjellet pga. nysnøflak. Vær oppmerksom på vått snødekke i lavlandet.	Considerable danger. Snowpack is quite thin after mild temps and rain. Localized instability in storm slabs above treeline. Weak layers of facet
1	Fg2 (1)	Vedvarende svakt lag (2), Våt snø (1)	Regn/temperaturstigning (1), Lag med kantkornet snø (1), Lag med overflaterim (1)	Tørre flakskred (2), Våte flakskred (1)	Krevende situasjon med flere svake lag i snødekket. Ferdsel krever god margin og gode kunnskaper. I lavlandet kan det gå våte skred i bratt terreng.	Persistent weak layers buried in the snow can cause medium-sized avalanches. Wet avalanches can release in steep terrain at lower areas.
3	Fg3 (3)	Vedvarende svakt lag (3), Fokksnø (3)	Lag med løs nysnø (3), Lag med kantkornet snø (3)	Tørre flakskred (6)	Krevende situasjon. I tillegg til mye nysnø og vind finnes det områder med vedvarende svake lag under den ferske fokksnøen som gir et svært ustabilt snødekke.	Be careful in areas with wind-deposited snow.
21	Fg3 (21)	Fokksnø (20), Våt snø (4), Vedvarende svakt lag (1)	Lag med løs nysnø (10), I fokksnøen (10), Regn/temperaturstigning (4), Lag med kantkornet snø (1)	Tørre flakskred (21), Våte flakskred (3), Våte løssnøskred (1)	Krevende skredforhold i fjellet, ferdsel i bratt terreng krever erfaring og kunnskap.	Challenging conditions. Be sure you have enough knowledge and experience before travelling in steep terrain.
5	Fg3 (4), Fg2 (1)	Vedvarende svakt lag (5), Våt snø (5), Fokksnø (2)	Regn/temperaturstigning (5), Lag med kantkornet snø (4), I fokksnøen (2), Lag med overflaterim (1)	Tørre flakskred (7), Våte flakskred (5)	Krevende skredforhold i fjellet, ferdsel i bratt terreng krever erfaring og kunnskap. I lavlandet kan det gå våte skred i bratt terreng.	Challenging conditions. Be sure you have enough knowledge and experience before travelling in steep terrain. Wet avalanches can release in steep terrain in lower areas.
2	Fg3 (2)	Vedvarende svakt lag (3), Våt snø (1)	Lag med kantkornet snø (2), Regn/temperaturstigning (1), Lag med overflaterim (1)	Tørre flakskred (3), Våte flakskred (1)	Krevende skredforhold i fjellet, ferdsel i bratt terreng krever erfaring og kunnskap. Nøn vegstrekninger kan være utsatt.	Challenging conditions. Be sure you have enough knowledge and experience before travelling in steep terrain. Some roads might be vulnerable.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Krevende skredforhold i fjellet, ferdsel i bratt terreng krever erfaring og kunnskap. Skredfaren er størst vest i regionen.	Challenging conditions. Be sure you have enough knowledge and experience before travelling in steep terrain.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Krevende skredforhold i fjellet, ferdsel i snøskredterreng krever erfaring og kunnskap.	Challenging conditions. Be sure you have enough knowledge and experience before travelling into avalanche terrain.
1	Fg3 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Kantkornet under skaren (1)	Tørre flakskred (2)	Krevende skredforhold i fjellet. Det kreves kunnskap og god sikt for å kunne ferdes med margin i områder med skredfare nå.	Challenging conditions. Be sure you have enough knowledge and experience before travelling in steep terrain.
2	Fg3 (2)	Fokksnø (2), Våt snø (2)	Lag med løs nysnø (2), Gjennomfuktet fra bakken (2)	Tørre flakskred (2), Våte flakskred (2)	Krevjande forhold i fjellet. Nytt stort snøfall saman med kuling og storm kan gje ustabil snø særleg i austvendte lesider. Våt snø under skoggrensa.	Challenging conditions due heavy snowfall and wind. Considerable snow accumulation, especially in leeward slopes facing east. Naturally released avalanches may occur. Wet snow below treeline.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Kuling og snøbyger gir ustabile forhold. Vær forsiktig i leformasjoner i terrenget som har samlet fokksnø. Naturlig utløste snøskred kan forekomme.	More wind and snow lead to generally unstable conditions. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Naturally released avalanches may occur.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Kuling, snø og snøbyger gir ustabile forhold. Vær forsiktig i leformasjoner i terrenget som har samlet fokksnø. Naturlig utløste snøskred kan forekomme.	More wind and snow lead to generally unstable conditions. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Naturally released avalanches may occur.
1	Fg2 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Lavtrykket langs kysten kan nå regionen. Stor usikkerhet i faregrad.	Generally stable conditions, but be careful when traveling close to/in terrain traps. Even small avalanches can be dangerous in these areas. A layer of facets if forming, but not yet an issue.
3	Fg1 (3)	Fokksnø (2), Vedvarende svakt lag (1)	Lag med løs nysnø (2), Glatt skare (1)	Tørre flakskred (3)	Lite snø og generelt stabile forhold, kun mulighet for å løse ut skred i nø få heng.	Generally stable conditions, but wind slabs can be present in isolated features.
3	Fg1 (3)	Fokksnø (3)	Lag med løs nysnø (2), I fokksnøen (1)	Tørre flakskred (3)	Lite snø og generelt stabile forhold, kun mulighet for å løse ut skred i nøn få heng.	Little snow and generally stable conditions, but in a few features unstable wind slabs can be present.
1	Fg1 (1)	Vedvarende svakt lag (1)	Glatt skare (1)	Tørre flakskred (1)	Lite snø og generelt stabile forhold, men vær forsiktig i og nært terrengfeller for små utglidninger.	Little snow and generally stable conditions.
2	Fg1 (2)				Lite snø, liten snøskredfare.	Little snow, low avalanche danger.
3	Fg1 (3)	Vedvarende svakt lag (3)	Glatt skare (3)	Tørre flakskred (3)	Litt nysnø, men stort sett stabile forhold.	Some new snow, but generally stable conditions due to melt-freeze cycles last week. Small wind slabs in isolated areas in the inner parts of the region are possible, but not likely.
1	Fg2 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Lokal ustabile forhold mot kvelden. Nysnøflak over mildværsgrensen kan være ustabile. Vått snødekke i lavlandet.	Heightened avalanche conditions towards the evening. Watch for ustable storm slabs on isolated terrain features in the alpine. Wet snowpack below treeline.
5	Fg2 (5)	Fokksnø (5), Vedvarende svakt lag (1)	Lag med løs nysnø (5), Kantkornet over skaren (1)	Tørre flakskred (6)	Lokal ustabile forhold. Nysnøflak over mildværsgrensen kan være ustabile. Overflaterimlag kan ha snødd ned.	Heightened avalanche conditions. Watch for ustable storm slabs on isolated terrain features in the alpine. Some concern regarding a newly formed surface hoar layer, that might have been buried.
2	Fg2 (2)	Vedvarende svakt lag (2), Fokksnø (2)	I fokksnøen (2), Kantkornet under skaren (2)	Tørre flakskred (4)	Lokal ustabile forhold. Vær forsiktig der det ligger fersk fokksnø.	Be careful in areas with fresh wind slab. There are still weak layers in the snowpack
1	Fg3 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Kantkornet under skaren (1)	Tørre flakskred (2)	Lokale forskjeller. 2-moderat i indre strøk og høyere i ytre strøk mot Romsdalen. Unngå leområder hvor et svakt lag kan ligge gjemt i snødekket.	Local variations. Avoid lee areas with wind deposited snow in coastal ereas, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Lokalt mye nedbør og vind fører til økende skredfare. Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø.	The avalanche danger will increase due to heavy snowfall and wind. Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Lag med kantkornet snø (1)	Tørre flakskred (2)	Lokalt mye nedbør og vind fører til økt faregrad søndag i vestlige deler av regionen.	The avalanche danger will increase Sunday due to increased precipitation and wind. Avoid terrain traps and large steep slopes until the new snow has stabilized.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Lokalt mye nedbør og vind fører til økt faregrad. Unngå terrengfeller og store bratte heng til nysnøen har stabilisert seg. Naturlig utløste skred mulig.	The avalanche danger will increase due to heavy snowfall and wind. Avoid terrain traps and large steep slopes until the new snow has stabilized. Naturally released avalanches possible.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Lokalt mye nedbør og vind fører til økt skredfare utover dagen. Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø.	The avalanche danger will increase due to heavy snowfall and wind throughout the day. Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
1	Fg3 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Lokalt mye nedbør og vind fører til økt skredfare. Unngå terrengfeller og store bratte heng til nysnøen har stabilisert seg.	The avalanche danger will increase due to heavy snowfall and wind. Avoid terrain traps and large steep slopes until the new snow has stabilized.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Lokalt mye nedbør og vind fører til økt skredfare. Unngå terrengfeller og store bratte heng til nysnøen har stabilisert seg. Naturlig utløste skred mulig.	The avalanche danger will increase due to heavy snowfall and wind. Avoid terrain traps and large steep slopes until the new snow has stabilized. Naturally released avalanches possible.
6	Fg3 (6)	Fokksnø (6)	Lag med løs nysnø (6)	Tørre flakskred (6)	Lokalt mye nedbør og vind fører til økt skredfare. Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø.	The avalanche danger will increase due to heavy snowfall and wind. Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med kantkornet snø (1)	Tørre flakskred (2)	Lokalt mye nedbør og vind øker faregraden natt til søndag i vestlige deler av regionen.	The avalanche danger will increase towards Sunday in western parts of the region due to increased precipitation and wind.
1	Fg4 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte flakskred (1)	Lokalt mye nedbør. Naturlig utløste skred i lavlandet ventes. Ustabile nysnøflak i høyfjellet.	Low pressure system will generate a lot of rain at lower elevations. Storm slabs will form at higher elevations. Travelling in avalanche terrain is not recommended.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Lokalt store forskjeller. kt faregrad i vestlige deler av regionen mandag som følge av nysnø og vind.	The avalanche danger will increase Monday due to increased precipitation and wind in wetstern parts of the region. Avoid terrain traps and large steep slopes until the new snow has stabilized.
3	Fg2 (3)	Vedvarende svakt lag (3), Fokksnø (3)	Lag med kantkornet snø (3), I fokksnøen (2), Lag med løs nysnø (1)	Tørre flakskred (6)	Lokalt ustabile fokksnøansamlinger i høyden. Vedvarende svake lag i snødekket kan påvirkes der snødekket er tynt.	Heightened avalanche conditions in the alpine. Be careful of recently loaded storm slabs. A persistent weak layer of facets may be triggered, especially where the snow cover is thin.
3	Fg2 (3)	Fokksnø (3)	I fokksnøen (3)	Tørre flakskred (3)	Lokalt ustabile fokksnøflak i høyden.	Avoid areas with fresh wind slabs. Higher elevations are most exposed.
1	Fg2 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Lokalt ustabile fokksnøflak.	Avoid areas with fresh wind slabs.
1	Fg2 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Lokalt ustabile forhold i fjellet grunnet vind med tiltagende styrke. Ferske fokksnøflak vil være ustabile.	Increasing wind will form new stormslabs. Localized instability in new storm slabs above treeline. The exisitng snowpack is stable.
3	Fg2 (3)	Fokksnø (3)	Lag med løs nysnø (3)	Tørre flakskred (3)	Lokalt ustabile forhold i fjellet pga ferske nysnøflak.	Danger deceases with less precipitation. Snowpack is quite thin after mild temps and rain. Localized instability in storm slabs above treeline.
1	Fg2 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Lokalt ustabile forhold i fjellet pga vinddreining og tiltagende styrke. Ferske fokksnøflak vil være ustabile.	Increasing and changing wind-direction will form new storm slabs. Localized instability in new storm slabs above treeline. The exisitng snowpack is stable.
2	Fg2 (2)	Fokksnø (2)	Lag med løs nysnø (2)	Tørre flakskred (2)	Lokalt ustabile forhold i fjellet pga. nysnøflak. Vær oppmerksom på vått snødekke i lavlandet.	Danger deceases with less precipitation. Snowpack is quite thin after mild temps and rain. Localized instability in storm slabs above treeline.
1	Fg2 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Lokalt ustabile forhold i høyden. Nysnøflak over mildværsgrensen kan være ustabile.	Heightened avalanche conditions in the alpine. Use caution on recently loaded storm slabs.
2	Fg2 (2)	Fokksnø (2)	Lag med løs nysnø (2)	Tørre flakskred (2)	Lokalt ustabile forhold i høyden. Nysnøflak over mildværsgrensen kan være ustabile. Vått snødekke i lavlandet.	Heightened avalanche conditions in the alpine. Use caution on recently loaded storm slabs. Wet snowpack below treeline.
3	Fg2 (3)	Vedvarende svakt lag (3), Fokksnø (3)	I fokksnøen (3), Lag med kantkornet snø (3)	Tørre flakskred (6)	Lokalt ustabile forhold i høyden. Nysnøflak over mildværsgrensen kan være ustabile. Vedvarende svake lag i snødekket kan påvirkes der snødekket er tynt.	Heightened avalanche conditions in the alpine. Be careful of recently loaded storm slabs. A persistent weak layer of facets may be triggered, especially where the snow cover is thin.
2	Fg2 (2)	Fokksnø (2)	Lag med løs nysnø (1), I fokksnøen (1)	Tørre flakskred (2)	Lokalt ustabile forhold i høyden. Vær forsiktig i leområder og andre terrengformasjoner med ferske flak av fokksnø.	Heightend avalanche danger in the alpine. Wind slabs are expected to be stubborn to trigger, but do not count on it where temperatures have been well below freezing or the snow is soft.
1	Fg2 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Lokalt ustabile forhold i høyden. Vær forsiktig i leområder og andre terrengformasjoner med myke flak av fokksnø.	Heightend avalanche danger in the alpine. Wind slabs are expected to be stubborn to trigger, but do not count on it where temperatures have been well below freezing or the snow is soft.
1	Fg2 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Lokalt ustabile forhold i høyden. Vær forsiktig i områder med fokksnøansamlinger.	Locally unstable conditions in the alpine. Be cautious in areas with wind slabs.
3	Fg2 (3)	Fokksnø (3), Våt snø (1)	I fokksnøen (3), Regn/temperaturstigning (1)	Tørre flakskred (3), Våte løssnøskred (1)	Lokalt ustabile forhold i høyfjellet. Fokksnø kan fortsatt være ustabilt. Vær varsom i bratte solutsatte fjellsider.	Be careful in steep terrain with older wind slabs. Be aware in sun-exposed aspects for natural triggered avalanches.
1	Fg2 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Lokalt ustabile forhold i vest. Vær forsiktig i leområder og andre terrengformasjoner med ferske flak av fokksnø.	Heightened avalanche danger. Use caution on recently loaded slopes. New snow might cover older wind slabs and might make their identification difficult.
6	Fg2 (6)	Vedvarende svakt lag (6), Fokksnø (6)	Lag med kantkornet snø (6), I fokksnøen (4), Lag med løs nysnø (2)	Tørre flakskred (12)	Lokalt ustabile forhold på grunn av ansamlinger av fersk fokksnø. Det finnes vedvarende svake lag i snødekket som kan påvirkes der snødekket er tynt.	Be careful in areas with fresh wind slabs. A persistent weak layer of facets may be triggered, especially where the snow cover is thin.
2	Fg2 (2)	Vedvarende svakt lag (2), Fokksnø (2)	I fokksnøen (2), Lag med kantkornet snø (2)	Tørre flakskred (4)	Lokalt ustabile forhold på grunn av ansamlinger av fokksnø. Det finnes vedvarende svake lag i snødekket som kan påvirkes der snødekket er tynt.	Be careful in areas with wind slabs. A persistent weak layer of facets may be triggered, especially where the snow cover is thin. Has not proven active lately, but has a large potential if trigged.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Lag med overflaterim (1)	Tørre flakskred (2)	Lokalt ustabile forhold som følge av nedføyket rimlag. Vær forsiktig i leområder der vinden har lagt igjen flak av fersk fokksnø.	Locally unstable conditions due too possible buried surface hoar. Be careful in lee areas with fresh wind deposited snow.
2	Fg2 (2)	Vedvarende svakt lag (2), Fokksnø (2)	I fokksnøen (2), Lag med overflaterim (2)	Tørre flakskred (4)	Lokalt ustabile forhold som følge av nedsnødd rimlag. Vær forsiktig i leområder der vinden har lagt igjen flak av fersk fokksnø.	Locally unstable conditions due too possible buried surface hoar. Be careful in lee areas with fresh wind deposited snow.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	I fokksnøen (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Lokalt ustabile forhold, Vær forsiktig i leområder hvor det har samlet seg fokksnø, typisk bak rygger, i søkk og renneformasjoner.	heightened avalanche conditions on specific terrain features. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	I fokksnøen (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Lokalt ustabile forhold, Vær forsiktig i leområder hvor det har samlet seg fokksnø, typisk bak rygger, i søkk og renneformasjoner. Solen kan utløse skred.	Heightened avalanche conditions on specific terrain features. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, an avalanche is easier to trigger here. Natural triggered avalanches on sun-exposed slopes possible.
3	Fg2 (3)	Fokksnø (3), Våt snø (2)	Lag med løs nysnø (3), Regn/temperaturstigning (2)	Tørre flakskred (3), Våte løssnøskred (2)	Lokalt ustabile forhold, særlig i høyden. Vær forsiktig i leområder og andre terrengformasjoner der det har lagt seg opp mye nysnø og ferske flak av fokksnø.	Heightened avalanche conditions on specific terrain features. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, an avalanche is easier to trigger here.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Lokalt ustabile forhold, skredfaren er størst i leområder der det kommer mest nedbør. I områder hvor det kommer lite nedbør er skredfaren 2-moderat.	Locally unstable conditions. Be careful with storm slabs above treeline.
1	Fg2 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Lokalt ustabile forhold, spesielt i høyden vest i regionen. Fokksnø i høyden vil være lett å løse ut først på dagen.	Locally unstable conditions in the western parts of the region. Wind slabs in the alpine might easily be triggered, especially during the first half of the day.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med overflaterim (1)	Tørre flakskred (2)	Lokalt ustabile forhold. Det finnes områder med svake lag under den vindtransporterte snøen. Vær forsiktig i leområder, særlig i eller nær terrengfeller.	Heightend avalanche conditions. Be aware that there can be pockets with persistent weak layer beneath wind deposited snow. Be careful in these areas, especially in and close to terrain traps.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Kantkornet under skaren (1)	Tørre flakskred (2)	Lokalt ustabile forhold. Det finnes områder med svake lag under den vindtransporterte snøen. Vær forsiktig i leområder, særlig i eller nært terrengfeller.	Heightend avalanche conditions. Be aware that there can be pockets with persistent weak layer beneath wind deposited snow. Be careful in these areas, especially in and close to terrain traps.
1	Fg2 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Lokalt ustabile forhold. Fare for ustabile fokksnøflak i høyden.	Heightened avalanche conditions on specific terrain features. Use caution in areas with recently formed storm slabs. Its time to switch to spring mode and remember to use slightly different approaches on wet and dry snow.
1	Fg2 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Lokalt ustabile forhold. Fare for ustabile nysnøflak i høyden.	Heightened avalanche conditions on specific terrain features. Use caution in areas with recently formed storm slabs. Its time to switch to spring mode and remember to use slightly different approaches on wet and dry snow.
4	Fg2 (4)	Fokksnø (4), Våt snø (4)	Lag med løs nysnø (4), Regn/temperaturstigning (2), Snødekket er overmettet av vann (2)	Tørre flakskred (4), Våte løssnøskred (4)	Lokalt ustabile forhold. Fare for våte snøskred i lavlandet, mens i høyden må man være oppmerksom på ferske og ustabile nysnøflak.	Local unstable conditions. Be careful, possible to release wet avalanches in lower areas. In the mountains where precipitation falls as snow, avoid new and fresh stormslabs.
